Team,Goals,Penalty goals,Passes,Passes completed,Passing Accuracy,Touches,Clean Sheets,Goals conceded,Offsides,Yellow Cards,Red Cards,Players Used
Team1,4,0,1076,828,76.9%,1706,0,3,2,9,0,16
Team2,4,0,1565,1223,78.1%,2358,1,6,8,7,0,19
Team3,4,0,1298,1082,83.3%,1873,1,5,8,4,0,15
Team4,5,0,1488,1200,80.6%,2440,2,3,6,5,0,16
Team5,3,0,2066,1803,87.2%,2909,1,5,5,6,0,19
Team6,10,1,2774,2427,87.4%,3761,1,6,12,4,0,17
Team7,5,1,1187,911,76.7%,2016,1,7,12,9,1,20
Team8,6,0,3016,2531,83.9%,4363,2,7,16,16,0,19
Team9,2,0,1556,1381,88.7%,2163,0,5,3,5,0,15
Team10,2,0,1059,852,80.4%,1724,0,3,3,7,1,17
Team11,6,0,1891,1461,77.2%,2958,2,4,10,12,0,16
Team12,1,0,851,606,71.2%,1433,0,9,11,6,1,17
Team13,5,0,1602,1345,83.9%,2278,0,3,4,6,0,16
Team14,12,1,4317,3820,88.4%,5585,5,1,19,11,0,18
Team15,5,0,1192,965,80.9%,1806,1,5,7,7,0,18
Team16,2,0,1276,1043,81.7%,1894,0,4,4,5,0,18
